kepler_name,kepoi_name,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_impact,koi_depth,koi_steff,koi_slogg,koi_srad,koi_model_snr,Actual,Predicted,Probability
Kepler-192 b,K00584.01,9.9267215,3.8428,2.76,803.0,98.34,0.625,725.5,5475.0,4.43,0.982,97.3,CONFIRMED,CONFIRMED,0.995
Kepler-60 c,K02086.02,8.91901228,4.141,1.84,1023.0,258.92,0.619,180.6,5862.0,4.194,1.307,29.6,CONFIRMED,CONFIRMED,0.99
Kepler-216 c,K00708.01,17.40665216,6.864,2.95,814.0,104.04,0.022,586.9,6086.0,4.274,1.216,85.7,CONFIRMED,CONFIRMED,0.99
Kepler-104 b,K00111.01,11.427550984,4.6074,2.35,852.0,124.31,0.608,500.9,5979.0,4.394,1.005,165.5,CONFIRMED,CONFIRMED,0.985
Kepler-624 b,K00626.01,14.58649856,4.0249,2.45,852.0,124.89,0.665,378.7,6063.0,4.29,1.191,53.0,CONFIRMED,CONFIRMED,0.985
Kepler-245 d,K00869.02,36.2761238,4.7865,3.03,445.0,9.29,0.035,1572.6,5103.0,4.562,0.787,45.5,CONFIRMED,CONFIRMED,0.985
Kepler-90 b,K00351.06,7.00821787,3.812,1.29,1062.0,300.58,0.156,116.4,5970.0,4.317,1.2,19.2,CONFIRMED,CONFIRMED,0.98
Kepler-82 c,K00880.02,51.53997972,6.3994,5.51,450.0,9.67,0.183,3644.3,5427.0,4.463,0.929,155.5,CONFIRMED,CONFIRMED,0.98
Kepler-103 b,K00108.01,15.96532718,4.5837,3.33,872.0,136.42,0.674,482.2,5880.0,4.154,1.433,144.2,CONFIRMED,CONFIRMED,0.975
Kepler-198 b,K00624.01,17.79001678,4.4116,2.7,655.0,43.5,0.182,871.4,5569.0,4.474,0.927,67.2,CONFIRMED,CONFIRMED,0.975
Kepler-654 b,K00721.01,13.72462702,6.9758,2.13,831.0,112.82,0.748,281.8,5817.0,4.293,1.171,50.1,CONFIRMED,CONFIRMED,0.97
Kepler-152 b,K00416.01,18.20795835,3.7965,3.08,551.0,21.86,0.64,1596.9,5176.0,4.612,0.738,157.3,CONFIRMED,CONFIRMED,0.97
Kepler-68 A b,K00246.01,5.398752862,3.4303,2.21,1140.0,398.33,0.015,346.5,5790.0,4.279,1.198,289.6,CONFIRMED,CONFIRMED,0.97
Kepler-157 c,K00442.01,13.54057461,4.4673,2.17,779.0,87.1,0.18,461.0,5767.0,4.389,1.014,53.3,CONFIRMED,CONFIRMED,0.97
Kepler-580 b,K00503.01,8.22241355,2.71,2.28,558.0,22.86,0.246,1468.6,4213.0,4.658,0.615,67.0,CONFIRMED,CONFIRMED,0.965
Kepler-339 b,K01931.01,4.97760447,2.5719,1.75,1023.0,258.91,0.474,287.3,5353.0,4.358,1.023,27.5,CONFIRMED,CONFIRMED,0.965
Kepler-186 b,K00571.03,3.886795001,1.7574,0.97,571.0,25.26,0.119,471.3,3751.0,4.8,0.443,41.8,CONFIRMED,CONFIRMED,0.965
Kepler-531 b,K00345.01,29.88487723,4.5612,2.81,453.0,9.95,0.658,1275.7,4883.0,4.549,0.749,128.3,CONFIRMED,CONFIRMED,0.965
,K06259.01,4.78113942,2.733,1.14,1130.0,386.46,0.118,105.8,5683.0,4.326,1.115,9.6,CANDIDATE,CANDIDATE,0.965
Kepler-32 c,K00952.02,8.75209691,2.3742,1.83,451.0,9.76,0.017,1367.6,3731.0,4.75,0.498,44.8,CONFIRMED,CONFIRMED,0.965
Kepler-769 c,K01106.02,15.9868932,4.158,1.62,803.0,98.51,0.533,178.5,6049.0,4.353,1.176,10.9,CONFIRMED,CANDIDATE,0.965
Kepler-114 c,K00156.01,8.041347775,2.6332,1.29,507.0,15.59,0.26,591.0,3980.0,4.722,0.54,77.5,CONFIRMED,CONFIRMED,0.965
Kepler-249 c,K00899.01,7.11373257,2.1764,1.16,429.0,8.01,0.334,807.6,3561.0,4.855,0.411,44.4,CONFIRMED,CONFIRMED,0.965
Kepler-570 b,K00480.01,4.30165843,2.1055,2.42,1009.0,244.48,0.547,739.4,5480.0,4.509,0.865,88.3,CONFIRMED,CONFIRMED,0.96
,K00724.01,6.97106919,3.9125,2.07,946.0,189.16,0.044,452.8,5871.0,4.493,0.983,41.7,FALSE POSITIVE,CONFIRMED,0.96
Kepler-474 b,K00155.01,5.660669429,4.6483,3.24,1115.0,365.53,0.477,737.8,5746.0,4.266,1.173,201.1,CONFIRMED,CONFIRMED,0.96
Kepler-224 d,K00733.02,11.34934848,3.1101,2.39,610.0,32.75,0.398,1249.8,5016.0,4.641,0.679,41.7,CONFIRMED,CONFIRMED,0.955
,K06921.01,6.87778029,3.199,1.19,1052.0,289.51,0.08,124.0,6274.0,4.434,1.062,10.1,CANDIDATE,CANDIDATE,0.955
Kepler-296 d,K01422.02,19.85029495,2.8407,1.52,297.0,1.83,0.217,1607.5,3526.0,4.866,0.383,34.4,CONFIRMED,CONFIRMED,0.955
Kepler-235 d,K00812.02,20.06036336,3.3203,1.96,361.0,4.0,0.556,1494.7,3950.0,4.754,0.493,35.2,CONFIRMED,CONFIRMED,0.955
